traj_iter,theta1,theta2,theta3,E_exact,E_rem,E_unmit,residual_rem,residual_unmit
13,-0.0692791204497437,-0.05288369274144057,1.1313922772355327,-98.44632168201022,-98.04977350795298,-97.47068654277061,0.3965481740572443,0.9756351392396141
6,-0.02570328024622123,0.008178993452695158,0.5678981966086525,-98.3684846807606,-97.98656445760916,-97.46187720242044,0.3819202231514396,0.9066074783401632
7,0.0470238689994488,0.0025917905924525836,0.6433768718789474,-98.38524670845992,-98.02456921637345,-97.4702465291962,0.3606774920864666,0.9150001792637141
12,-0.015767528660265942,0.06053956536744639,1.1287350423831881,-98.44917099003939,-98.02502410624953,-97.45590808078087,0.42414688378985943,0.9932629092585188
5,0.06297432392208928,0.04475221427175328,0.4742783807790852,-98.34753933412647,-97.98994432396681,-97.4533421980927,0.3575950101596561,0.8941971360337675
12,0.04179749591220071,0.0897742592216727,1.1459276946130392,-98.44733563538736,-98.06370257214574,-97.4863516269911,0.38363306324161783,0.9609840083962666
7,-0.037639664257901856,-0.016706964879844334,0.8216906995415763,-98.41613597204288,-98.02884366131438,-97.47280881209083,0.38729231072849757,0.9433271599520481
0,-0.015360590357135384,0.05699743001041699,-0.029885901566437528,-98.20177943333262,-97.97545405095285,-97.47632410800249,0.22632538237976974,0.725455325330131
1,0.06196024853349603,0.0753706938149909,0.024323929589844376,-98.22059493596903,-97.95445795259754,-97.43556921118437,0.2661369833714957,0.7850257247846599
12,-0.10000228134099423,0.017131885153028943,0.9968944759103486,-98.43486718415805,-97.99735550099535,-97.45430561925903,0.43751168316269684,0.9805615648990198
3,0.00977876926459519,0.07676371631628992,0.34984323205140333,-98.31547488579415,-97.9501711519678,-97.43626020692335,0.3653037338263516,0.8792146788707953
